time_s,gw,A->B,A->C,A->D,B->A,B->C,B->D,C->A,C->B,C->D,D->A,D->B,D->C
33.0,B,-56,-66,-56,-59,-70,-66,-61,-66,-55,-57,-65,-59
33.1,B,-61,-63,-57,-57,-67,-66,-63,-65,-54,-58,-66,-56
33.2,B,-61,-61,-53,-61,-65,-64,-65,-66,-55,-57,-65,-56
33.3,B,-59,-64,-54,-56,-69,-67,-61,-68,-56,-54,-69,-54
33.4,B,-60,-62,-54,-58,-65,-69,-66,-65,-56,-57,-65,-56
33.5,B,-59,-63,-58,-57,-67,-66,-65,-70,-59,-58,-68,-56
33.6,B,-60,-61,-53,-59,-65,-69,-66,-66,-55,-57,-64,-57
33.7,B,-57,-64,-58,-57,-66,-64,-67,-65,-56,-55,-65,-60
33.8,B,-56,-67,-53,-58,-69,-63,-63,-66,-56,-54,-63,-54
33.9,B,-56,-62,-55,-61,-67,-63,-62,-67,-56,-58,-68,-56
34.0,B,-55,-67,-58,-59,-64,-65,-67,-67,-59,-59,-67,-60
34.1,B,-56,-63,-58,-58,-68,-69,-62,-69,-57,-59,-65,-54
34.2,B,-57,-67,-54,-55,-68,-68,-65,-65,-54,-57,-63,-54
34.3,B,-55,-65,-59,-60,-68,-65,-62,-66,-58,-54,-66,-60
34.4,B,-59,-67,-57,-57,-68,-63,-63,-70,-60,-54,-68,-58
34.5,B,-60,-62,-56,-61,-64,-65,-64,-70,-54,-59,-66,-60
34.6,B,-55,-65,-58,-60,-66,-67,-61,-65,-55,-56,-63,-59
34.7,B,-59,-63,-54,-55,-64,-67,-64,-70,-60,-57,-68,-57
34.8,B,-58,-61,-59,-55,-64,-69,-67,-69,-56,-53,-64,-55
34.9,B,-58,-61,-56,-60,-65,-63,-64,-67,-59,-53,-65,-56
35.0,B,-59,-65,-55,-60,-68,-68,-63,-66,-72,-58,-68,-54
35.1,B,-56,-64,-57,-57,-67,-66,-65,-68,-72,-57,-65,-57
35.2,B,-60,-67,-58,-58,-66,-69,-62,-69,-67,-54,-68,-58
35.3,B,-59,-67,-55,-59,-68,-65,-63,-66,-68,-58,-64,-60
35.4,B,-55,-67,-53,-60,-64,-66,-62,-66,-67,-59,-67,-54
35.5,B,-55,-61,-58,-55,-64,-68,-62,-70,-70,-53,-67,-55
35.6,B,-57,-61,-54,-60,-68,-63,-63,-65,-69,-57,-69,-55
35.7,B,-56,-65,-53,-58,-66,-67,-66,-64,-71,-57,-68,-59
35.8,B,-61,-61,-54,-58,-67,-66,-64,-66,-66,-57,-68,-56
35.9,B,-60,-65,-54,-59,-68,-64,-63,-66,-67,-57,-69,-59
36.0,B,-61,-63,-58,-59,-66,-67,-64,-68,-66,-54,-66,-55
36.1,B,-55,-64,-57,-60,-68,-67,-63,-70,-66,-58,-64,-58
36.2,B,-56,-67,-58,-61,-67,-66,-66,-66,-70,-53,-65,-55
36.3,B,-60,-66,-54,-61,-69,-65,-67,-70,-72,-53,-63,-56
36.4,B,-56,-66,-59,-60,-68,-65,-62,-70,-67,-57,-69,-59
36.5,B,-59,-61,-54,-61,-65,-66,-64,-66,-67,-53,-67,-59
36.6,B,-55,-64,-53,-61,-70,-64,-63,-68,-66,-56,-65,-57
36.7,B,-58,-61,-59,-61,-68,-65,-62,-68,-72,-56,-65,-55
36.8,B,-60,-67,-59,-60,-69,-68,-63,-64,-66,-59,-67,-54
36.9,B,-58,-65,-55,-56,-66,-63,-63,-69,-67,-55,-65,-58
37.0,B,-56,-63,-57,-55,-65,-66,-61,-70,-66,-54,-67,-55
37.1,B,-56,-64,-55,-59,-68,-65,-63,-68,-71,-57,-69,-56
37.2,B,-61,-62,-53,-55,-68,-68,-62,-69,-69,-53,-69,-60
37.3,B,-60,-67,-59,-57,-66,-68,-63,-64,-71,-57,-65,-58
37.4,B,-60,-61,-54,-55,-64,-68,-63,-70,-70,-53,-64,-59
37.5,B,-55,-64,-58,-56,-68,-63,-64,-67,-71,-57,-63,-60
37.6,B,-56,-62,-59,-61,-64,-64,-64,-65,-66,-57,-69,-59
37.7,B,-58,-64,-56,-56,-65,-63,-66,-70,-70,-59,-67,-55
37.8,B,-60,-66,-57,-60,-68,-63,-64,-65,-70,-57,-66,-59
37.9,B,-55,-66,-56,-55,-64,-63,-65,-64,-71,-53,-67,-58
38.0,B,-59,-67,-56,-55,-69,-68,-65,-65,-56,-55,-66,-59
38.1,B,-61,-61,-58,-55,-65,-67,-67,-64,-54,-53,-66,-59
38.2,B,-55,-66,-57,-56,-70,-63,-67,-69,-60,-58,-67,-59
38.3,B,-56,-65,-59,-55,-69,-66,-62,-67,-60,-56,-67,-55
38.4,B,-59,-67,-55,-60,-69,-63,-62,-65,-60,-59,-68,-56
38.5,B,-60,-63,-56,-56,-70,-64,-67,-70,-58,-59,-69,-60
38.6,B,-60,-63,-56,-61,-69,-68,-62,-66,-59,-54,-64,-56
38.7,B,-61,-63,-57,-55,-67,-69,-65,-69,-54,-58,-64,-60
38.8,B,-56,-66,-59,-59,-68,-69,-67,-69,-56,-59,-66,-54
38.9,B,-59,-65,-59,-59,-65,-69,-62,-67,-56,-57,-65,-58
39.0,B,-55,-62,-54,-59,-67,-66,-65,-66,-57,-56,-68,-57
39.1,B,-58,-61,-58,-56,-70,-68,-63,-66,-58,-54,-65,-55
39.2,B,-60,-61,-58,-56,-70,-69,-61,-66,-54,-59,-64,-60
39.3,B,-56,-63,-57,-56,-65,-66,-63,-65,-58,-56,-65,-60
39.4,B,-56,-62,-53,-58,-66,-67,-63,-66,-57,-58,-63,-55
39.5,B,-59,-62,-59,-58,-66,-67,-63,-65,-55,-53,-67,-60
39.6,B,-55,-63,-54,-60,-66,-63,-65,-68,-54,-56,-63,-55
39.7,B,-57,-63,-56,-57,-69,-68,-67,-64,-56,-57,-65,-59
39.8,B,-60,-61,-57,-60,-65,-68,-66,-64,-55,-56,-68,-55
39.9,B,-55,-67,-57,-58,-68,-63,-61,-64,-57,-59,-66,-59
40.0,B,-58,-67,-57,-59,-65,-63,-63,-66,-58,-56,-64,-60
40.1,B,-58,-65,-56,-56,-70,-66,-62,-67,-55,-53,-68,-54
40.2,B,-60,-67,-54,-60,-68,-66,-63,-65,-59,-55,-67,-56
40.3,B,-55,-64,-57,-61,-66,-68,-67,-66,-58,-59,-65,-59
40.4,B,-56,-63,-57,-59,-68,-68,-65,-64,-57,-59,-65,-55
40.5,B,-55,-67,-58,-60,-67,-63,-65,-66,-54,-57,-69,-55
40.6,B,-58,-65,-59,-56,-64,-67,-64,-67,-55,-55,-63,-58
40.7,B,-60,-64,-53,-57,-69,-65,-66,-64,-55,-55,-67,-60
40.8,B,-59,-61,-59,-61,-64,-66,-64,-67,-56,-56,-66,-55
40.9,B,-61,-63,-55,-58,-67,-64,-61,-67,-57,-56,-68,-60
41.0,B,-58,-64,-58,-57,-64,-63,-67,-65,-59,-54,-68,-57
41.1,B,-61,-62,-57,-57,-68,-63,-64,-64,-57,-59,-69,-59
41.2,B,-57,-61,-59,-61,-67,-69,-61,-64,-59,-55,-66,-60
41.3,B,-56,-65,-56,-55,-70,-65,-62,-65,-57,-53,-65,-59
41.4,B,-55,-67,-53,-56,-69,-67,-65,-69,-56,-59,-68,-56
41.5,B,-57,-65,-59,-59,-67,-67,-62,-64,-58,-55,-66,-56
41.6,B,-56,-67,-57,-59,-69,-63,-64,-64,-57,-53,-65,-58
41.7,B,-60,-66,-59,-60,-66,-64,-65,-67,-55,-56,-64,-56
41.8,B,-59,-61,-57,-60,-67,-64,-63,-65,-60,-54,-67,-60
41.9,B,-61,-64,-55,-55,-68,-69,-65,-69,-54,-56,-67,-59
42.0,B,-55,-63,-55,-58,-67,-64,-64,-69,-59,-59,-68,-57
42.1,B,-61,-67,-58,-55,-70,-63,-63,-67,-59,-59,-64,-56
42.2,B,-58,-66,-54,-56,-65,-64,-65,-64,-59,-55,-63,-59
42.3,B,-55,-62,-58,-57,-70,-66,-67,-69,-54,-59,-69,-57
42.4,B,-56,-61,-57,-56,-67,-64,-64,-69,-54,-59,-64,-59
42.5,B,-60,-61,-56,-59,-64,-68,-61,-66,-54,-57,-64,-56
42.6,B,-59,-65,-57,-57,-64,-68,-66,-64,-55,-58,-66,-60
42.7,B,-58,-66,-54,-59,-69,-64,-63,-65,-60,-58,-66,-59
42.8,B,-58,-65,-54,-58,-70,-69,-61,-68,-60,-54,-68,-55
42.9,B,-57,-67,-57,-58,-68,-69,-61,-64,-57,-59,-68,-57
43.0,B,-55,-65,-55,-57,-66,-63,-67,-69,-59,-56,-67,-54
43.1,B,-57,-65,-59,-57,-66,-69,-67,-68,-59,-58,-64,-58
43.2,B,-60,-65,-57,-58,-67,-68,-65,-65,-58,-58,-69,-54
43.3,B,-55,-67,-54,-57,-67,-69,-62,-66,-60,-53,-68,-56
43.4,B,-58,-67,-59,-61,-66,-65,-67,-67,-55,-54,-68,-57
43.5,B,-55,-65,-59,-59,-65,-64,-62,-69,-58,-58,-64,-60
43.6,B,-61,-61,-54,-55,-64,-66,-65,-69,-58,-59,-69,-59
43.7,B,-60,-64,-57,-57,-66,-69,-65,-67,-59,-58,-65,-56
43.8,B,-57,-65,-57,-60,-68,-66,-63,-69,-59,-58,-64,-54
43.9,B,-57,-66,-59,-61,-70,-69,-64,-64,-54,-54,-65,-59
44.0,B,-61,-61,-58,-60,-64,-67,-67,-67,-57,-55,-65,-60
44.1,B,-57,-67,-59,-56,-66,-68,-66,-69,-56,-53,-63,-56
44.2,B,-55,-66,-59,-57,-68,-69,-67,-69,-56,-53,-64,-59
44.3,B,-59,-67,-53,-55,-67,-65,-66,-70,-58,-56,-63,-57
44.4,B,-61,-61,-58,-60,-65,-65,-62,-69,-59,-53,-67,-54
44.5,B,-60,-66,-58,-56,-68,-64,-67,-70,-54,-56,-69,-57
44.6,B,-55,-65,-59,-55,-66,-64,-67,-69,-54,-54,-69,-54
44.7,B,-55,-64,-59,-56,-65,-67,-63,-69,-54,-56,-64,-54
44.8,B,-60,-65,-53,-56,-68,-69,-62,-67,-54,-53,-63,-55
44.9,B,-60,-64,-56,-55,-65,-63,-61,-66,-58,-54,-65,-56
45.0,B,-56,-67,-59,-55,-64,-63,-65,-64,-54,-53,-68,-59
45.1,B,-57,-64,-55,-60,-67,-65,-62,-65,-60,-56,-64,-54
45.2,B,-55,-62,-54,-55,-68,-63,-64,-67,-60,-58,-64,-55
45.3,B,-56,-63,-53,-58,-64,-67,-67,-68,-57,-55,-69,-60
45.4,B,-58,-64,-55,-59,-67,-68,-65,-66,-59,-59,-67,-57
45.5,B,-57,-67,-57,-59,-70,-67,-66,-65,-57,-56,-64,-56
45.6,B,-61,-66,-54,-56,-70,-66,-61,-69,-57,-57,-67,-59
45.7,B,-60,-66,-57,-55,-66,-66,-65,-67,-58,-55,-63,-56
45.8,B,-55,-61,-58,-58,-66,-69,-67,-64,-59,-59,-68,-57
45.9,B,-55,-62,-57,-56,-68,-64,-67,-66,-55,-53,-63,-56
46.0,B,-60,-61,-57,-56,-67,-69,-63,-66,-58,-56,-67,-58
46.1,B,-59,-62,-54,-56,-65,-66,-63,-64,-55,-59,-64,-57
46.2,B,-59,-62,-59,-61,-64,-64,-67,-66,-57,-56,-67,-54
46.3,B,-60,-62,-55,-56,-67,-69,-65,-67,-59,-59,-67,-59
46.4,B,-57,-63,-55,-61,-67,-68,-62,-66,-55,-57,-64,-54
46.5,B,-59,-61,-55,-61,-67,-65,-64,-65,-60,-53,-64,-55
46.6,B,-58,-62,-57,-56,-68,-67,-66,-64,-56,-56,-63,-60
46.7,B,-59,-66,-58,-57,-64,-69,-66,-68,-55,-55,-68,-55
46.8,B,-61,-63,-57,-58,-64,-67,-62,-69,-58,-57,-66,-59
46.9,B,-59,-64,-56,-61,-65,-67,-65,-67,-58,-56,-63,-57
47.0,B,-61,-66,-55,-58,-66,-63,-64,-65,-59,-53,-67,-60
47.1,B,-59,-61,-55,-58,-65,-65,-61,-65,-57,-53,-69,-58
47.2,B,-59,-62,-56,-57,-64,-67,-61,-65,-60,-57,-66,-54
47.3,B,-61,-63,-53,-56,-66,-67,-65,-66,-58,-57,-68,-60
47.4,B,-61,-61,-55,-56,-64,-66,-61,-64,-55,-59,-67,-59
47.5,B,-60,-62,-54,-56,-65,-69,-61,-67,-57,-53,-63,-55
47.6,B,-58,-64,-56,-55,-68,-67,-61,-69,-55,-53,-68,-56
47.7,B,-58,-62,-57,-60,-69,-67,-62,-70,-57,-59,-65,-60
47.8,B,-56,-66,-55,-58,-67,-68,-63,-65,-58,-53,-63,-55
47.9,B,-60,-66,-54,-55,-64,-68,-63,-70,-58,-59,-64,-54
48.0,B,-58,-65,-58,-56,-65,-64,-64,-66,-58,-54,-69,-54
48.1,B,-57,-61,-55,-59,-66,-68,-66,-68,-60,-57,-64,-56
48.2,B,-59,-67,-54,-57,-70,-69,-61,-68,-59,-59,-66,-55
48.3,B,-58,-65,-55,-61,-67,-65,-63,-66,-54,-59,-69,-56
48.4,B,-61,-64,-58,-59,-65,-67,-65,-66,-56,-58,-68,-56
48.5,B,-59,-61,-53,-57,-66,-64,-67,-69,-54,-58,-69,-54
48.6,B,-59,-64,-57,-61,-65,-67,-62,-70,-56,-59,-66,-57
48.7,B,-57,-64,-58,-56,-64,-69,-61,-68,-56,-57,-64,-58
48.8,B,-56,-64,-55,-60,-67,-66,-62,-65,-56,-56,-68,-58
48.9,B,-60,-67,-56,-60,-68,-63,-66,-70,-55,-55,-69,-57
49.0,B,-55,-62,-54,-60,-64,-67,-66,-66,-54,-54,-63,-58
49.1,B,-56,-62,-55,-56,-70,-69,-65,-69,-57,-59,-63,-54
49.2,B,-56,-62,-54,-57,-68,-65,-65,-65,-59,-55,-64,-58
49.3,B,-59,-67,-59,-56,-69,-64,-65,-67,-60,-53,-64,-57
49.4,B,-59,-67,-53,-60,-68,-63,-64,-67,-60,-57,-63,-58
49.5,B,-55,-66,-53,-61,-66,-65,-65,-66,-57,-58,-67,-58
49.6,B,-60,-62,-57,-55,-66,-66,-61,-65,-55,-56,-68,-54
49.7,B,-60,-66,-59,-61,-69,-64,-63,-66,-57,-59,-69,-54
49.8,B,-58,-61,-59,-60,-66,-65,-67,-64,-58,-57,-65,-56
49.9,B,-58,-61,-54,-60,-70,-68,-66,-68,-57,-59,-69,-56
50.0,C,-60,-64,-56,-57,-66,-64,-62,-65,-57,-53,-69,-56
50.1,C,-55,-64,-58,-58,-65,-64,-61,-65,-59,-54,-64,-57
50.2,C,-57,-66,-59,-58,-66,-66,-67,-65,-59,-53,-68,-60
50.3,C,-57,-61,-54,-55,-69,-64,-62,-65,-55,-59,-68,-60
50.4,C,-55,-67,-59,-58,-70,-66,-66,-69,-54,-54,-69,-56
50.5,C,-57,-64,-57,-61,-69,-66,-67,-67,-54,-59,-63,-55
50.6,C,-60,-66,-53,-57,-69,-65,-63,-68,-60,-55,-63,-57
50.7,C,-61,-61,-59,-57,-65,-63,-67,-66,-56,-55,-65,-56
50.8,C,-61,-62,-59,-56,-66,-65,-65,-67,-57,-54,-69,-56
50.9,C,-61,-66,-53,-57,-64,-63,-64,-69,-60,-54,-64,-55
51.0,C,-56,-64,-59,-57,-70,-65,-63,-68,-55,-59,-69,-55
51.1,C,-55,-61,-59,-61,-68,-67,-65,-68,-54,-57,-68,-57
51.2,C,-57,-65,-53,-60,-70,-69,-67,-70,-60,-54,-64,-54
51.3,C,-60,-63,-56,-58,-67,-65,-63,-65,-59,-53,-64,-54
51.4,C,-61,-61,-59,-56,-65,-69,-62,-65,-59,-53,-66,-54
51.5,C,-60,-63,-57,-58,-68,-64,-66,-68,-54,-57,-63,-58
51.6,C,-59,-64,-59,-60,-67,-68,-62,-65,-57,-53,-65,-54
51.7,C,-59,-61,-58,-61,-67,-65,-67,-68,-59,-55,-67,-54
51.8,C,-61,-61,-53,-55,-69,-67,-61,-70,-56,-58,-69,-60
51.9,C,-58,-62,-57,-59,-70,-65,-67,-67,-59,-58,-65,-60
52.0,C,-56,-63,-58,-58,-66,-64,-61,-65,-60,-54,-68,-59
52.1,C,-55,-67,-54,-59,-67,-64,-67,-69,-56,-56,-65,-55
52.2,C,-56,-62,-57,-55,-67,-68,-65,-68,-60,-59,-64,-54
52.3,C,-56,-65,-55,-56,-65,-64,-63,-69,-55,-59,-65,-60
52.4,C,-59,-67,-59,-56,-70,-65,-67,-70,-58,-59,-68,-56
52.5,C,-56,-64,-54,-57,-65,-67,-61,-67,-59,-59,-67,-58
52.6,C,-58,-62,-54,-60,-67,-64,-67,-64,-57,-57,-67,-54
52.7,C,-61,-64,-53,-55,-69,-69,-61,-69,-54,-57,-64,-58
52.8,C,-57,-67,-53,-60,-70,-69,-66,-64,-55,-54,-65,-58
52.9,C,-60,-67,-58,-58,-70,-63,-67,-67,-58,-54,-69,-56
53.0,C,-60,-67,-59,-59,-70,-67,-61,-69,-58,-57,-65,-55
53.1,C,-60,-65,-53,-56,-68,-67,-65,-69,-56,-54,-69,-54
53.2,C,-55,-66,-57,-55,-67,-63,-67,-69,-55,-58,-68,-54
53.3,C,-55,-65,-58,-56,-67,-67,-61,-70,-60,-59,-64,-57
53.4,C,-60,-65,-59,-58,-67,-66,-67,-70,-57,-55,-64,-57
53.5,C,-58,-67,-56,-58,-69,-68,-64,-67,-60,-59,-68,-60
53.6,C,-59,-64,-56,-60,-68,-65,-67,-70,-56,-58,-66,-55
53.7,C,-57,-63,-53,-55,-67,-69,-67,-67,-56,-59,-68,-56
53.8,C,-57,-61,-57,-60,-70,-69,-64,-68,-57,-56,-63,-55
53.9,C,-61,-61,-56,-56,-68,-69,-66,-68,-55,-53,-67,-60
54.0,C,-56,-64,-56,-59,-69,-65,-67,-65,-55,-53,-65,-60
54.1,C,-58,-62,-54,-61,-66,-64,-66,-64,-57,-54,-65,-59
54.2,C,-59,-66,-56,-55,-68,-64,-67,-64,-54,-57,-64,-55
54.3,C,-56,-66,-59,-57,-67,-64,-67,-67,-59,-53,-69,-58
54.4,C,-60,-61,-58,-59,-65,-67,-63,-69,-60,-56,-69,-55
54.5,C,-61,-65,-56,-60,-70,-66,-65,-66,-54,-54,-66,-55
54.6,C,-57,-66,-58,-55,-67,-68,-65,-64,-57,-57,-68,-54
54.7,C,-61,-64,-58,-59,-67,-64,-62,-70,-56,-57,-63,-59
54.8,C,-55,-61,-59,-60,-66,-63,-65,-66,-57,-56,-65,-56
54.9,C,-60,-65,-58,-57,-70,-67,-64,-69,-59,-55,-68,-56
55.0,C,-55,-67,-58,-60,-67,-68,-67,-66,-54,-56,-63,-57
55.1,C,-57,-62,-58,-55,-69,-64,-65,-65,-57,-59,-69,-57
55.2,C,-61,-65,-59,-59,-64,-68,-61,-69,-57,-59,-65,-57
55.3,C,-55,-62,-54,-56,-66,-65,-67,-67,-59,-56,-64,-56
55.4,C,-56,-61,-57,-57,-66,-68,-64,-70,-56,-57,-65,-57
55.5,C,-55,-62,-57,-56,-69,-66,-65,-66,-58,-54,-63,-60
55.6,C,-57,-62,-56,-60,-65,-67,-61,-70,-57,-56,-67,-55
55.7,C,-60,-64,-57,-55,-69,-66,-67,-69,-56,-56,-66,-59
55.8,C,-59,-62,-54,-59,-67,-64,-64,-64,-58,-58,-68,-55
55.9,C,-59,-67,-59,-57,-69,-66,-63,-67,-55,-59,-66,-56
56.0,C,-59,-63,-55,-59,-68,-64,-61,-67,-58,-58,-63,-57
56.1,C,-56,-62,-53,-60,-67,-67,-67,-65,-54,-57,-63,-56
56.2,C,-60,-62,-58,-56,-66,-63,-66,-68,-54,-53,-67,-55
56.3,C,-60,-61,-59,-57,-67,-63,-62,-64,-56,-59,-68,-60
56.4,C,-57,-64,-54,-57,-68,-69,-67,-64,-60,-53,-68,-60
56.5,C,-61,-66,-58,-60,-68,-64,-61,-69,-60,-59,-69,-60
56.6,C,-60,-66,-56,-59,-70,-65,-65,-68,-58,-56,-64,-57
56.7,C,-59,-67,-59,-59,-69,-67,-67,-70,-56,-59,-64,-58
56.8,C,-55,-61,-54,-59,-68,-65,-64,-69,-59,-55,-65,-54
56.9,C,-55,-66,-53,-56,-67,-66,-65,-65,-60,-58,-67,-54
57.0,C,-55,-64,-59,-61,-66,-68,-66,-64,-55,-56,-63,-57
57.1,C,-57,-67,-53,-56,-67,-65,-64,-69,-60,-58,-65,-59
57.2,C,-55,-62,-56,-60,-64,-67,-63,-67,-56,-55,-67,-55
57.3,C,-61,-66,-54,-61,-69,-65,-65,-69,-55,-54,-64,-57
57.4,C,-60,-66,-58,-59,-65,-67,-66,-69,-60,-58,-66,-54
57.5,C,-55,-62,-54,-56,-65,-63,-61,-68,-57,-57,-65,-55
57.6,C,-61,-61,-55,-59,-70,-67,-67,-68,-56,-58,-68,-59
57.7,C,-60,-64,-59,-60,-68,-69,-61,-66,-55,-55,-63,-58
57.8,C,-57,-65,-53,-61,-70,-64,-67,-66,-57,-56,-66,-60
57.9,C,-55,-62,-55,-60,-67,-67,-61,-67,-55,-56,-63,-55
58.0,C,-57,-64,-53,-56,-68,-65,-67,-70,-54,-56,-69,-55
58.1,C,-60,-67,-53,-57,-69,-69,-64,-65,-56,-59,-67,-55
58.2,C,-55,-61,-54,-55,-68,-66,-63,-70,-59,-56,-64,-60
58.3,C,-61,-65,-53,-56,-69,-65,-67,-65,-60,-57,-68,-54
58.4,C,-57,-61,-56,-60,-69,-68,-64,-64,-54,-56,-64,-58
58.5,C,-61,-66,-56,-57,-70,-69,-65,-65,-55,-56,-66,-59
58.6,C,-57,-61,-57,-55,-67,-66,-62,-69,-55,-53,-68,-55
58.7,C,-58,-67,-53,-55,-66,-67,-61,-69,-60,-57,-65,-57
58.8,C,-55,-63,-57,-59,-69,-64,-62,-64,-58,-54,-68,-55
58.9,C,-61,-61,-59,-55,-69,-65,-65,-70,-54,-53,-67,-56
59.0,C,-61,-65,-58,-55,-68,-63,-65,-68,-58,-57,-65,-58
59.1,C,-58,-65,-59,-60,-70,-64,-64,-64,-55,-53,-65,-54
59.2,C,-55,-62,-53,-61,-65,-68,-61,-69,-54,-57,-67,-56
59.3,C,-59,-64,-56,-55,-68,-68,-66,-66,-55,-57,-64,-54
59.4,C,-59,-61,-58,-55,-68,-63,-66,-64,-55,-53,-64,-56
59.5,C,-61,-61,-53,-55,-66,-66,-65,-67,-54,-56,-63,-55
59.6,C,-56,-65,-57,-60,-70,-69,-67,-68,-60,-53,-69,-59
59.7,C,-61,-63,-59,-58,-65,-69,-66,-64,-57,-54,-66,-58
59.8,C,-58,-65,-54,-56,-66,-66,-65,-68,-55,-53,-67,-55
59.9,C,-57,-67,-55,-57,-64,-65,-67,-67,-57,-56,-69,-55
60.0,C,-60,-66,-57,-57,-68,-64,-62,-64,-60,-54,-65,-60
60.1,C,-57,-63,-56,-61,-65,-68,-64,-70,-59,-55,-67,-54
60.2,C,-55,-62,-57,-61,-69,-63,-62,-66,-54,-59,-68,-58
60.3,C,-60,-64,-54,-56,-70,-66,-66,-68,-58,-57,-65,-55
60.4,C,-58,-63,-53,-57,-70,-64,-61,-69,-56,-56,-63,-56
60.5,C,-60,-67,-54,-57,-64,-69,-61,-66,-58,-59,-69,-59
60.6,C,-61,-63,-53,-56,-65,-68,-63,-67,-59,-55,-68,-59
60.7,C,-56,-64,-53,-61,-67,-68,-63,-65,-58,-55,-67,-59
60.8,C,-60,-63,-54,-58,-70,-69,-61,-70,-54,-57,-64,-59
60.9,C,-57,-65,-58,-57,-64,-68,-66,-66,-59,-53,-68,-56
61.0,C,-56,-64,-54,-57,-65,-68,-65,-64,-54,-56,-65,-60
61.1,C,-61,-64,-53,-61,-64,-69,-61,-66,-55,-56,-68,-58
61.2,C,-60,-62,-58,-57,-68,-66,-61,-65,-59,-58,-68,-59
61.3,C,-59,-63,-56,-59,-68,-68,-62,-69,-57,-59,-68,-59
61.4,C,-59,-67,-55,-59,-69,-66,-64,-64,-57,-53,-65,-57
61.5,C,-59,-64,-55,-60,-67,-65,-63,-69,-56,-58,-68,-60
61.6,C,-56,-64,-59,-58,-70,-67,-62,-67,-58,-57,-64,-55
61.7,C,-56,-66,-56,-55,-64,-65,-63,-70,-60,-53,-63,-55
61.8,C,-59,-63,-54,-56,-65,-66,-64,-66,-58,-58,-65,-55
61.9,C,-56,-66,-54,-59,-65,-63,-64,-64,-58,-55,-65,-55
62.0,C,-59,-61,-58,-57,-66,-66,-62,-69,-58,-59,-68,-54
62.1,C,-57,-65,-53,-58,-67,-66,-65,-68,-56,-59,-67,-56
62.2,C,-55,-65,-54,-58,-70,-67,-65,-67,-56,-55,-65,-54
62.3,C,-61,-65,-53,-58,-70,-67,-61,-65,-56,-59,-67,-58
62.4,C,-55,-64,-58,-56,-67,-69,-67,-69,-59,-59,-64,-54
62.5,C,-60,-65,-58,-60,-70,-66,-65,-70,-55,-54,-69,-59
62.6,C,-57,-67,-53,-60,-67,-63,-66,-70,-55,-56,-63,-55
62.7,C,-58,-67,-54,-55,-65,-63,-66,-66,-59,-57,-69,-60
62.8,C,-60,-67,-59,-61,-68,-64,-62,-65,-59,-59,-66,-59
62.9,C,-60,-66,-55,-59,-65,-68,-65,-70,-54,-56,-67,-57
63.0,C,-59,-64,-58,-58,-70,-64,-62,-69,-59,-58,-68,-54
63.1,C,-56,-62,-54,-61,-67,-65,-63,-65,-60,-53,-66,-56
63.2,C,-61,-64,-56,-61,-66,-64,-65,-65,-57,-55,-68,-54
63.3,C,-55,-63,-55,-60,-67,-68,-62,-67,-59,-54,-64,-60
63.4,C,-55,-61,-54,-57,-70,-63,-61,-68,-57,-54,-64,-59
63.5,C,-58,-62,-54,-58,-68,-66,-63,-66,-59,-57,-66,-59
63.6,C,-60,-61,-54,-55,-66,-63,-67,-66,-55,-57,-67,-55
63.7,C,-59,-61,-55,-59,-69,-65,-61,-66,-57,-57,-63,-60
63.8,C,-55,-61,-59,-60,-67,-63,-67,-66,-57,-57,-65,-56
63.9,C,-56,-67,-59,-57,-64,-68,-67,-67,-58,-59,-65,-54
64.0,C,-58,-62,-53,-59,-70,-64,-64,-65,-58,-59,-69,-57
64.1,C,-60,-67,-54,-59,-68,-63,-65,-69,-56,-55,-65,-57
64.2,C,-56,-61,-54,-55,-68,-66,-62,-64,-58,-56,-64,-55
64.3,C,-61,-67,-54,-55,-69,-63,-62,-68,-60,-55,-63,-56
64.4,C,-59,-62,-53,-58,-64,-68,-65,-64,-56,-59,-66,-57
64.5,C,-61,-67,-53,-55,-70,-68,-64,-66,-57,-54,-69,-55
64.6,C,-59,-61,-55,-60,-69,-64,-61,-64,-60,-54,-68,-54
64.7,C,-59,-65,-58,-60,-69,-66,-61,-64,-59,-57,-67,-60
64.8,C,-60,-63,-57,-55,-70,-64,-64,-66,-56,-53,-66,-59
64.9,C,-58,-64,-53,-59,-65,-69,-62,-67,-59,-54,-66,-57
65.0,C,-60,-65,-58,-57,-65,-69,-63,-68,-57,-58,-68,-57
65.1,C,-58,-65,-55,-59,-70,-65,-64,-64,-56,-57,-68,-58
65.2,C,-59,-64,-59,-60,-67,-65,-65,-68,-57,-55,-65,-59
65.3,C,-55,-67,-57,-60,-67,-69,-65,-67,-55,-57,-65,-54
65.4,C,-58,-62,-58,-57,-64,-64,-62,-69,-58,-58,-65,-59
65.5,C,-59,-62,-58,-56,-66,-69,-64,-70,-59,-55,-69,-59
65.6,C,-57,-62,-59,-55,-64,-68,-62,-70,-55,-57,-69,-59
65.7,C,-56,-62,-59,-59,-70,-66,-67,-68,-58,-55,-64,-60
65.8,C,-58,-65,-54,-57,-66,-63,-66,-70,-56,-58,-68,-54
65.9,C,-61,-66,-59,-59,-66,-64,-63,-68,-55,-56,-66,-55
66.0,C,-61,-63,-53,-56,-67,-69,-61,-65,-58,-55,-68,-57
66.1,C,-55,-62,-59,-61,-70,-66,-63,-66,-55,-56,-68,-58
